domain,dataset_name,target,control,ridge_r2,ridge_mae,ridge_rmse,ridge_r2_median,ridge_r2_variance_weighted,ridge_nrmse,ridge_elapsed_seconds,train_samples,validation_samples,test_samples,probe_elapsed_seconds
go2,Go2JoystickFlatTerrain-direction-expert-v1,delta_obs,input_obs_action,0.6209186911582947,0.3042944371700287,0.6881887497160005,0.6573948264122009,0.7998208999633789,0.5893004536628723,0.028535624034702778,6429,1525,2046,0.02853697119280696
go2,Go2JoystickFlatTerrain-direction-expert-v1,delta_obs,labels_shuffled,-0.012037443928420544,0.5576916337013245,1.5141277192893718,-0.012006103992462158,-0.010263761505484581,1.0059975385665894,0.031695094192400575,6429,1525,2046,0.031696324003860354
go2,Go2JoystickFlatTerrain-direction-expert-v1,delta_obs,random_features,-0.03390040248632431,0.5704064965248108,1.5633753803972827,-0.03276848793029785,-0.03307069092988968,1.016802191734314,0.04126668209210038,6429,1525,2046,0.04126815008930862
