domain,dataset_name,model_seed,layer,target,target_dim,aggregate,member_index,status,target_dim_original,target_dim_active,target_dim_constant,target_variance_mean,target_unique_values,ridge_r2,ridge_mae,ridge_rmse,ridge_r2_median,ridge_r2_variance_weighted,ridge_nrmse,ridge_elapsed_seconds,train_samples,validation_samples,test_samples,mlp_r2,mlp_r2_std,mlp_mae,mlp_mae_std,mlp_rmse,mlp_rmse_std,mlp_nrmse,mlp_nrmse_std,mlp_r2_median,mlp_r2_variance_weighted,mlp_epochs,mlp_epochs_std,mlp_num_seeds,mlp_elapsed_seconds,delta_mlp_minus_ridge,probe_elapsed_seconds
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,delta_obs,48,member,0,ok,48,48,0,2.437718629837036,,0.6644995808601379,0.2781950533390045,0.62117243814137,0.7455456852912903,0.8369097709655762,0.544344425201416,0.14394674892537296,6429.0,1525.0,2046.0,0.6423598130544027,0.0007198269989734592,0.28706470131874084,0.0003274632053567833,0.6378154514323792,0.0012186969732170569,0.5626006722450256,0.0003983228020899809,0.7277465363343557,0.8280526995658875,125.33333333333333,3.2998316455372216,3.0,17.858562467154115,-0.022139767805735233,18.002523130038753
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,next_obs,48,member,0,ok,48,48,0,2.699336051940918,,0.8161701560020447,0.2824975550174713,0.6091017232589006,0.8937869071960449,0.855138897895813,0.3673342764377594,0.03841179586015642,6429.0,1525.0,2046.0,0.8143370946248373,0.00047569887657699495,0.27961598833401996,0.001049089464637828,0.5962415748275863,0.001652999747141604,0.3698830008506775,0.0006986916575985154,0.8960482676823934,0.8611901998519897,110.33333333333333,3.2998316455372216,3.0,13.204283793922514,-0.0018330613772074011,13.242702540941536
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,reward,1,member,0,ok,1,1,0,3.708669464685954e-05,9962.0,0.7905988693237305,0.001677503576502204,0.0027543993143468873,0.7905988693237305,0.7905988693237305,1.2972592115402222,0.022187225986272097,6429.0,1525.0,2046.0,0.8643423914909363,0.0042828331004733725,0.0013333351428930957,1.946159342060639e-05,0.002216688802722284,3.519621842436666e-05,0.3682708144187927,0.005847339770580789,0.8643423914909363,0.8643424113591512,78.0,12.027745701779143,3.0,7.71368806483224,0.07374352216720581,7.735879779793322
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,obs_sanity,48,member,0,ok,48,48,0,2.7091972827911377,,0.9734258651733398,0.10077012330293655,0.22017973051079884,0.9769968092441559,0.9812861680984497,0.15582799911499023,0.03042511991225183,6429.0,1525.0,2046.0,0.9846240282058716,0.000246992418453972,0.07679139077663422,0.0005685647619569693,0.17970282991524736,0.001738958024803483,0.12008855243523915,0.0008834758289123423,0.986218124628067,0.9875331322352091,500.0,0.0,3.0,54.9035201780498,0.011198163032531738,54.93395169288851
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,xy_t_sanity,2,member,0,ok,2,2,0,0.359200656414032,,0.9790495038032532,0.05804396793246269,0.07963421526705997,0.9790495038032532,0.9816867709159851,0.14415284991264343,0.01855951501056552,6429.0,1525.0,2046.0,0.9900291164716085,0.0004052276101650686,0.038920383900403976,0.0011622538763100202,0.05479675352539351,0.0022269072531114755,0.09936756889025371,0.0022932510282571554,0.9900291164716085,0.9913144906361898,350.0,9.092121131323903,3.0,33.060940898023546,0.010979612668355343,33.07950586802326
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,xy_tp1,2,member,0,ok,2,2,0,0.3597598671913147,,0.9495232701301575,0.08429184556007385,0.10780816846936633,0.9495232701301575,0.9665058255195618,0.21766066551208496,0.017918321071192622,6429.0,1525.0,2046.0,0.947721799214681,0.0018564691766334023,0.08429075529177983,0.0021093058605764414,0.1097315041642779,0.0031796137647894128,0.22147727509339651,0.0046492851919454434,0.947721799214681,0.9652708967526754,73.33333333333333,6.599663291074444,3.0,6.978250965010375,-0.0018014709154764441,6.996176037937403
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,delta_xy,2,member,0,ok,2,2,0,0.007480118423700333,,0.29781997203826904,0.059195730835199356,0.07288698851232227,0.29781997203826904,0.2975541353225708,0.8379267454147339,0.017382534919306636,6429.0,1525.0,2046.0,0.265535444021225,0.009981016260349796,0.0604939858118693,0.00035759026292657913,0.07455941738995886,0.0005125763288296256,0.8567914366722107,0.0057488842467165,0.265535444021225,0.2649136185646057,46.0,1.632993161855452,3.0,4.382858845870942,-0.03228452801704407,4.400245791999623
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_command,3,member,0,ok,3,3,0,0.38030576705932617,,0.9677834510803223,0.06897365301847458,0.11107457299240557,0.9665946960449219,0.9665188789367676,0.17921584844589233,0.017499971901997924,6429.0,1525.0,2046.0,0.9717991948127747,0.0007856045321933757,0.06175563111901283,0.0013666342441301814,0.10475141309159268,0.0017000195021620343,0.16771886746088663,0.0023127284591906707,0.9721605976422628,0.9702145059903463,157.0,16.391054470858997,3.0,15.004868577001616,0.004015743732452393,15.022372371982783
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_pert_dir,0,member,0,skipped_constant_target,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_pert_duration,1,member,0,ok,1,1,0,4.717994689941406,8.0,-0.04374492168426514,1.8953193426132202,2.191130649691463,-0.04374492168426514,-0.04374492168426514,1.0200821161270142,0.019945975160226226,6429.0,1525.0,2046.0,-0.06763291358947754,0.012457090192507014,1.9070025285085042,0.009648676753924241,2.2160249554960614,0.012930934923241669,1.0332456827163696,0.006029184904665994,-0.06763291358947754,-0.06763291358947754,33.0,0.816496580927726,3.0,3.251188188092783,-0.023887991905212402,3.2711381299886853
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_pert_duration_seconds,1,member,0,ok,1,1,0,0.001892288913950324,1002.0,-0.044645071029663086,0.03732364624738693,0.04347820917860083,-0.044645071029663086,-0.044645071029663086,1.020815134048462,0.019942241022363305,6429.0,1525.0,2046.0,-0.06935671965281169,0.013473192153793096,0.03765820960203806,0.0001835469317540212,0.04398857828584073,0.00027747211296134857,1.034076452255249,0.0065227739160296045,-0.06935671965281169,-0.06935672089457512,33.333333333333336,0.4714045207910317,3.0,3.2854306288063526,-0.024711648623148605,3.3053770228289068
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_pert_mag,1,member,0,ok,1,1,0,0.7844262719154358,1002.0,-0.038660407066345215,0.7620421051979065,0.8863231768076983,-0.038660407066345215,-0.038660407066345215,1.0212639570236206,0.019592946162447333,6429.0,1525.0,2046.0,-0.05713021755218506,0.0107258898535416,0.7650465567906698,0.002979342789376781,0.8941574195590244,0.00453268519055298,1.0281550884246826,0.005211947566622118,-0.05713021755218506,-0.05713021755218506,33.0,0.0,3.0,3.2556503140367568,-0.018469810485839844,3.275247311219573
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_pert_steps,0,member,0,skipped_constant_target,1,0,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_steps_since_last_pert,0,member,0,skipped_constant_target,1,0,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
