domain,dataset_name,model_seed,layer,target,target_dim,aggregate,member_index,status,target_dim_original,target_dim_active,target_dim_constant,target_variance_mean,target_unique_values,ridge_r2,ridge_mae,ridge_rmse,ridge_r2_median,ridge_r2_variance_weighted,ridge_nrmse,ridge_elapsed_seconds,train_samples,validation_samples,test_samples,mlp_r2,mlp_r2_std,mlp_mae,mlp_mae_std,mlp_rmse,mlp_rmse_std,mlp_nrmse,mlp_nrmse_std,mlp_r2_median,mlp_r2_variance_weighted,mlp_epochs,mlp_epochs_std,mlp_num_seeds,mlp_elapsed_seconds,delta_mlp_minus_ridge,probe_elapsed_seconds
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,wm_obs_error_norm,1,member,0,ok,1,1,0,0.564924418926239,9993,0.1626873016357422,0.4903126060962677,0.6856678043659559,0.1626873016357422,0.1626873016357422,1.0945261716842651,0.02986301784403622,6429,1525,2046,0.1532166600227356,0.009244166713386449,0.49814923604329425,0.005033042117525026,0.6895243406071758,0.003764293575379856,0.9201946457227071,0.005023563583179316,0.1532166600227356,0.1532166600227356,40.666666666666664,1.699673171197595,3,4.05525518511422,-0.009470641613006592,4.085122889839113
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,wm_reward_abs_error,1,member,0,ok,1,1,0,1.7137849681603257e-06,9900,0.07028466463088989,0.0005643197800964117,0.0012561283707766223,0.07028466463088989,0.07028466463088989,1.0694706439971924,0.020658730063587427,6429,1525,2046,0.07896753152211507,0.005065099021363326,0.0005653417514016231,1.925527335886285e-06,0.0012502441994141622,3.4350982640585054e-06,0.9597007632255554,0.0026368026052637954,0.07896753152211507,0.07896753152211507,36.666666666666664,1.247219128924647,3,3.6533423620276153,0.008682866891225174,3.6740051640663296
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,unc_epi_mean,1,member,0,ok,1,1,0,0.0007543229148723185,9996,0.7546720504760742,0.008534140884876251,0.013919238608222327,0.7546720504760742,0.7546720504760742,1.260524868965149,0.0200798858422786,6429,1525,2046,0.900732696056366,0.004170441890778628,0.005122716693828504,3.8248695596716346e-05,0.008852164403158549,0.0001857483131126641,0.3149977922439575,0.006609725075308381,0.900732696056366,0.900732676188151,172.66666666666666,18.83849486792639,3,17.12510478612967,0.14606064558029175,17.145188516937196
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,unc_ale_max,1,member,0,ok,1,1,0,0.11341176927089691,9976,0.6506523489952087,0.12431178987026215,0.20407327884930568,0.6506523489952087,0.6506523489952087,1.2074519395828247,0.019764748169109225,6429,1525,2046,0.8759618004163107,0.004771853118056242,0.06691771745681763,0.0016465417703051006,0.1215776359219563,0.0023521470201389046,0.3521246711413066,0.006812508961554364,0.8759618004163107,0.8759618004163107,220.0,27.760883751542686,3,21.784995215944946,0.22530945142110193,21.80476388405077
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,unc_total_var,1,member,0,ok,1,1,0,0.0016202873084694147,9982,0.6682400703430176,0.014165895991027355,0.023810312382767887,0.6682400703430176,0.6682400703430176,1.2127703428268433,0.019863276975229383,6429,1525,2046,0.8904832005500793,0.0066500896760536814,0.006507632943491141,0.00020996274984456847,0.013674050487505397,0.00041123596435341887,0.3307836850484212,0.009948043663872865,0.8904832005500793,0.8904832005500793,192.66666666666666,38.421637422450154,3,19.04744769097306,0.22224313020706177,19.067314975894988
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,wm_obs_error_norm,1,member,0,ok,1,1,0,0.564924418926239,9993,0.17493152618408203,0.4830831289291382,0.6806359962576934,0.17493152618408203,0.17493152618408203,1.1014436483383179,0.01994887995533645,6429,1525,2046,0.16463524103164673,0.021227266126932827,0.49274806181589764,0.005834318332472326,0.6848141582801285,0.008727045976806678,0.9139087597529093,0.011646534799636309,0.16463524103164673,0.16463524103164673,38.0,2.160246899469287,3,3.798200055025518,-0.010296285152435303,3.818152984138578
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,wm_reward_abs_error,1,member,0,ok,1,1,0,1.7137849681603257e-06,9900,0.12773531675338745,0.0005302040954120457,0.001216699042127393,0.12773531675338745,0.12773531675338745,1.0750335454940796,0.01982380193658173,6429,1525,2046,0.08203079303105672,0.005734394636128539,0.0005641006476556262,6.483491383222453e-06,0.001248162006042354,3.900927403909663e-06,0.9581024050712585,0.0029944033480287435,0.08203079303105672,0.08203079303105672,37.666666666666664,0.9428090415820634,3,3.76509807119146,-0.045704523722330734,3.784925964893773
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,unc_epi_mean,1,member,0,ok,1,1,0,0.0007543229148723185,9996,0.8694330453872681,0.0058713690377771854,0.01015450235894207,0.8694330453872681,0.8694330453872681,1.2664430141448975,0.01989001501351595,6429,1525,2046,0.904814879099528,0.009255386015089764,0.005030123982578516,6.800526410076349e-05,0.008660111164622909,0.0004170535871342217,0.30816371242205304,0.014840562044516835,0.904814879099528,0.9048148989677429,133.33333333333334,26.960877005188255,3,13.282143963035196,0.03538183371225989,13.30203787703067
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,unc_ale_max,1,member,0,ok,1,1,0,0.11341176927089691,9976,0.8498471975326538,0.07763747125864029,0.1337900857816671,0.8498471975326538,0.8498471975326538,1.2185951471328735,0.019709512125700712,6429,1525,2046,0.9016391833623251,0.006583979711133539,0.06404880185921986,0.0008357720834672528,0.10822501229099617,0.0036038702507400194,0.3134515384833018,0.010437878075128157,0.9016391833623251,0.9016391634941101,155.0,23.53720459187964,3,15.356986511033028,0.05179198582967126,15.376700425054878
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,unc_total_var,1,member,0,ok,1,1,0,0.0016202873084694147,9982,0.865743100643158,0.008275615982711315,0.015146819328647906,0.865743100643158,0.865743100643158,1.2218998670578003,0.01970235607586801,6429,1525,2046,0.9169244368871053,0.0026124050895122396,0.00604117630670468,0.0002249450136610457,0.011913407444042417,0.0001874652106247678,0.28819264968236286,0.004534913225928716,0.9169244368871053,0.9169244170188904,129.33333333333334,13.299958228840003,3,12.830729709938169,0.051181336243947384,12.850436259061098
